code,AT scheme code original language,AT scheme code translated,AT Notes,BE scheme code original language,BE Notes,BG scheme code original language,BG scheme code translated,BG Notes,CY scheme code original language,CY Notes,CZ scheme code original language,CZ Notes,DE scheme code original language,DE scheme code translated,DE Notes,DK scheme code original language,DK Notes,EE scheme code original language ,EE scheme code translated,EE Notes,ES scheme code original language,ES Notes,FR scheme code original language,FR scheme code translated,FR Notes,GB scheme code original language,GB Notes,GR scheme code original language,GR scheme code translated,GR Notes,HR scheme code original language,HR scheme code translated,HR Notes,HU scheme code original language,HU scheme code translated,HU Notes,IE scheme code original language,IE Notes,LT scheme code original language,LT scheme code translated,LT Notes,LU scheme code original language,LU Notes,LV scheme code original language,LV scheme code translated,LV Notes,MT scheme code original language,MT Notes,NL scheme code original language,NL scheme code translated,NL Notes,PL scheme code original language,PL scheme code translated,PL Notes,PT scheme code original language,PT Notes,RO scheme code original language,RO scheme code translated,RO Notes,SE scheme code original language,SE Notes,SI scheme code original language,SI Notes,SK scheme code original language,SK Notes
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Agrár-környezetgazdálkodás (EMVA, Nemzeti)","Agri-environmental management (EAFRD, National)                                                                                                                                                                                                                 ","Kim moved to National from IV/A.15. Frida: Unsure, could also be measure V/B.2.4 on row 75 or measure V/B.2.6 on row 77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EMVA - Agrár-környezetgazdálkodás (EMVA, Nemzeti)","EAFRD - Agri-environmental management (EAFRD, National)","Kim moved to National from IV/A.15. Frida: Unsure, could also be measure V/B.2.4 on row 75 or measure V/B.2.6 on row 77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kedvezõtlen adottságú területek és környezetvédelmi megszorítások hatálya alatti területek (EMGA (NVT), Nemzeti)","Less-favoured areas and areas under environmental restrictions (EAGF (NRDP), National)",Kim moved to National from IV/A.17. Frida: Could also be measure V/B.2.3 on row 74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EMVA - Kedvezõtlen adottságú területek (EMVA, Nemzeti)","EAFRD - Areas with natural constraints (EAFRD, National)",Kim moved to National from IV/A.18. Frida: Only one that mentions natural constraints ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kárenyhítési juttatás (Nemzeti, Nemzeti)","Compensation Allowance (National, National)","Kim moved to National from IV/A.18. Frida: Could be this one but unsure, fits no where else",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kárenyhítési juttatás-kiegészítés 2007 (Nemzeti, Nemzeti)","Compensation allowance supplement 2007 (National, National)","Kim moved to National from IV/A.18. Frida: Could be this one but unsure, fits no where else",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Állatjóléti támogatások (Nemzeti, Nemzeti)","Animal welfare subsidies (National, National)                                                                                                                                                                                                                              ",Kim moved to National from IV/A.19. Frida:  Could also be measure V/B.2.5 on row 76 or measure I.7 on row 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Baromfi állatjóléti támogatás (Nemzeti, Nemzeti)","Poultry welfare support (National, National)                                                                                                                                                                                                                                  ",Kim moved to National from IV/A.19. Frida:  Could also be measure V/B.2.5 on row 76 or measure I.7 on row 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EMVA - Tejágazat állatjólét (EMVA, Nemzeti)","EAFRD - Animal welfare in the dairy sector (EAFRD, National)",Kim moved to National from IV/A.19. Frida:  Could also be measure V/B.2.5 on row 76 or measure I.7 on row 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sertés állatjóléti támogatás (Nemzeti, Nemzeti)","Pig Animal Welfare Support (National, National)",Kim moved to National from IV/A.19. Frida: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EMVA IKSZT kialakítása és mûködtetése (EMVA, Nemzeti)","EAFRD 'IKSZT' Development and Operation (EAFRD, EU)","Kim moved to National from IV/A.24. Frida: Descriptions corresponds, but isn't a perfect fit. IKSZT = ""Integrált Közösségi és Szolgáltató Tér"" (Integrated Community and Service Space - public buildings serving as community space and a potential location to make public services accessible, this is an institution of rural development). (Although LEADER is not mentioned, this is the best fit: focus on rural development, bringin locals closer to each others, building communities)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"HOP Technikai Segítségnyújtás (EHA, Nemzeti)","HOP Technical Assistance (EFF, National)",Kim moved to National from IV/A.25. Frida: Could also be measure V/B.4.6 on row 98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EMVA - Szakképzés (EMVA, Nemzeti)","EAFRD - Vocational Training (EAFRD, National)",Kim moved to National from V/B.1.1. Frida: The only one that mentions vocational training,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EMVA - Szaktanácsadás (EMVA, Nemzeti)","EAFRD - Advisory (EAFRD, National)",Kim moved to National from V/B.1.4. Frida: Description corresponds as this means only the use of advisory services according to Kata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EMVA - Ültetvények korszerûsítése, telepítése (EMVA, Nemzeti)","EAFRD - Modernization and installation of plantations (EAFRD, National)",Kim moved to National from V/B.1.6. Frida: Could be this one as only one that mentions modernization.  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EMVA állattartó telepek korszerûsítése (EMVA, Nemzeti)","EAFRD modernization of livestock farms (EAFRD, National)",Kim moved to National from V/B.1.6. Frida: Most likely this one as only one that mentions modernization of farms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EMVA állattartó telepek korszerûsítése (Nemzeti, Nemzeti)","EAFRD modernization of livestock farms (National, National)",Kim moved to National from V/B.1.6. Frida: Most likely this one as only one that mentions modernization of farms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EMVA - Gyümölcs és kertészeti ültetvények korszerûsítése, létesítése (EMVA, Nemzeti)","EAFRD - Modernization and establishment of fruit and horticultural plantations (EAFRD, National)",Kim moved to National from V/B.1.6. Frida: Only one that mentions modernization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EMVA - Kertészet korszerûsítése (EMVA, Nemzeti)","EAFRD - Modernizing Gardening (EAFRD, National)",Kim moved to National from V/B.1.6. Frida: Only one that mentions modernization but unsure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EMVA - Kertészeti gépek, technológiai berendezések beszerzéséhez nyújtandó támogatás (EMVA, Nemzeti)","EAFRD - Aid for the acquisition of horticultural machinery, technological equipment (EAFRD, National)","Kim moved to National from V/B.1.6. Frida: Unsure, placed here because kind of modernization measure",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EMVA-ból önálló, építéssel nem járó gépek, technológiai berendezések beszerzése (EMVA, Nemzeti)","Acquisition of singular, non-construction machinery and technological equipment from EAFRD (EAFRD, National)","Kim moved to National from V/B.1.6. Frida: Could also be measure IV/A.21 on row 49 or V/B.1.9 on row 62, fits best here",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EMVA-ból önálló, építéssel nem járó gépek, technológiai berendezések beszerzése (Nemzeti, Nemzeti)","Acquisition of singular, non-construction machinery and technological equipment from EAFRD (National, National)","Kim moved to National from V/B.1.6. Frida: Could also be measure IV/A.21 on row 49 or V/B.1.9 on row 62, fits best here",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EMVA - Kertészeti ültetvények korszerûsítése, létesítése (EMVA, Nemzeti)","EAFRD - Modernization and establishment of horticultural plantations (EAFRD, National)",Kim moved to National from V/B.1.6. Frida: Only one that mentions modernization but unsure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tanyafejlesztés 2. § (3) bekezdés c) pont (Nemzeti, Nemzeti)","Farm Development Section 2 (3) (c) (National, National)","Kim moved to National from V/B.1.6. Frida: Description corresponds 2.§ (3) c): ""gazdálkodást segítő gépek, eszközök fejlesztésére, beszerzésére"" = for the development and acquisition of agricultural machinery and equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EMVA - Szárítók támogatása (EMVA, Nemzeti)","EAFRD - Support for Dryers (EAFRD, National)",Kim moved to National from V/B.1.6. Frida: Description kind of fits (Kata placed),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Növényegészségügyi vizsgálatok támogatása (Nemzeti, Nemzeti)","Subsidy/aid for phytosanitary tests (National, National)","Kim moved to National from V/B.1.6. Frida: Only one that mentions hygiene, kind of fits",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"HOP Halfeldolgozás (EHA, Nemzeti)","HOP Fish Processing (EMFF, National)",Kim moved to National from V/B.1.8. Frida: Only one that mentions processing of agricultural products.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sertés feldolgozó de minimis támogatás (Nemzeti, Nemzeti)","De minimis aid for pig processing (National, National)                                                                                                                                                                                                                                                                       ",Kim moved to National from V/B.1.8. Frida: Only one that mentions processing of agricultural products.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4/2014. (IX. 1.) FM rendelet - meggyfeldolgozás feldolgozási de minimis támogatása (Nemzeti, Nemzeti)","4/2014. (IX. 1.) FM decree - de minimis aid for processing sour cherries (National, National)",Kim moved to National from V/B.1.8. Frida:  Number not corresponding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4/2014. (IX. 1.) FM rendelet - meggyfeldolgozás közraktározási de minimis támogatása (Nemzeti, Nemzeti)","4/2014. (IX. 1.) FM Decree - de minimis aid for public storage of sour cherry processing (National, National)",Kim moved to National from V/B.1.8. Frida:  Number not corresponding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TS MNVH (EMVA, Nemzeti)","TS MNVH (EAFRD, National)","Kim moved to National from V/B.1.9. Frida: Description kind of fits. MNVH = 'Magyar Nemzeti Vidéki Hálózat' (Hungarian National Rural Network), a coordinative body of stakeholders involved in rural development",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EMVA - Mezõgazdasági utak fejlesztése (EMVA, Nemzeti)","EAFRD - Development of agricultural roads (EAFRD, National)                                                                                                                                                                                                ",Kim moved to National from V/B.1.10. Frida: Most likely this one as only one that mentions agricultural infrastructure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EMVA - Öntözés,melioráció,vízgazd (EMVA, Nemzeti)","EAFRD - Irrigation, soil improvement, water management (EAFRD, National)",Kim moved to National from V/B.1.10. Frida: most likely this one as only one that mentions water management. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Erdei vasutak üzemeltetésének de minimis támogatása (Nemzeti, Nemzeti)","De minimis aid for the operation of forest railways (National, National)",Kim moved to National from V/B.1.10. Frida: most likely this one as only one that mentions forest and roads ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EMVA Tanyabusz (EMVA, Nemzeti)","EAFRD Farm Bus (EAFRD, National)",Kim moved to National from V/B.1.10. Frida: Only one that mentions infrastructure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EMVA - Natura -2000 (EMVA, Nemzeti)","EAFRD - Natura -2000 (EAFRD, National)","Kim moved to National from V/B.2.3. Frida: Unsure, could also be measure IV/A.17 on row 45 or V/B.2.10 on row 81 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EMVA Génmegõrzés - állat (EMVA, Nemzeti)","EAFRD gene conservation - animal (EAFRD, National)                                                                                                                                                                                                               ","Kim moved to National from V/B.2.4. Frida:  Unsure, only one that mentions genetic conservation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EMVA Génmegõrzés-növény (EMVA, Nemzeti)","EAFRD gene conservation plant (EAFRD, National)","Kim moved to National from V/B.2.4. Frida:  Unsure, only one that mentions genetic conservation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Õshonos mezõgazdasági állatfajták tenyésztésben történõ támogatása (EMVA, Nemzeti)","Subsidy/aid for the husbandry of indigenous livestock breeds (EAFRD, National)","Kim moved to National from V/B.2.4. Frida: Unsure, only one that mentions genetic conservation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Õshonos mezõgazdasági állatfajták tenyésztésben történõ támogatása (EMVA, Nemzeti)","Subsidy/aid for the husbandry of indigenous livestock breeds (EAFRD, National)","Kim moved to National from V/B.2.4. Frida: Unsure, only one that mentions genetic conservation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EMVA - Nem termelõ mezõgazdasági beruházások támogatása (EMVA, Nemzeti)","EAFRD - Support for non-productive agricultural investments (EAFRD, National)                                                                                                                                                                         ",Kim moved to National from V/B.2.6. Frida: Only one that mentions non-prod inv. & agriculture.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EMVA - Mgte támogatás (EMVA, Nemzeti)","EAFRD - Mgte Support (EAFRD, National)","Kim moved to National from V/B.2.7. Frida: Description corresponds (Mgte = ""Mezőgazdasági területek erdősítése"" (afforestation of agricultural fields))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EMVA - NATURA 2000 Erdõ (EMVA, Nemzeti)","EAFRD - NATURA 2000 Forest (EAFRD, National)",Kim moved to National from V/B.2.10. Frida: Only one that mentions Natura 2000 and forests ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Európai Mezõgazdasági Vidékfejlesztési Alapból finanszírozott erdõ-környezetvédelmi (EMVA, Nemzeti)","Forest-Environment (EAFRD, National) financed by the European Agricultural Fund for Rural Development",Kim moved to National from V/B.2.11. Frida: Most likely this one as same formulation. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EMVA - Erdészeti potenciál helyreállítása (EMVA, Nemzeti)","EAFRD - Restoring forestry potential (EAFRD, National)",Kim moved to National from V/B.2.12. Frida: Most likely this one as same formulation. Could also be measure IV/A.11 on row 39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EMVA - Erdei közjóléti létesítmények (EMVA, Nemzeti)","EAFRD - Forest public welfare facilities (EAFRD, National)","Kim moved to National from V/B.2.13. Frida: (Mentions 'investments' in 'forests', and 'public amenities')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EMVA - Diverzifikáció (EMVA, Nemzeti)","EAFRD - Diversification (EAFRD, National)","Kim moved to National from V/B.3.1. Frida: Unsure, could also be measure V/B.4.3 on row 95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EMVA - Mikrovállalkozások (EMVA, Nemzeti)","EAFRD - Micro-enterprises (EAFRD, National)",Kim moved to National from V/B.3.2. Frida: Only one that mentions micro enterprises ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EMVA - Turisztika (EMVA, Nemzeti)","EAFRD - Tourism (EAFRD, National)",Kim moved to National from V/B.3.3. Frida: Most likely this one as it is both an EAFRD scheme and mentions tourism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TS információnyújtás, kommunikáció (EMVA, Nemzeti)","TS Information, Communication (EAFRD, National)","Kim moved to National from V/B.3.4. Frida: Could be this one as one of two that mentions info + com, could also be measure IV/A.25 on row 53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EMVA-GAZDANet (EMVA, Nemzeti)","EAFRD - 'GAZDANET' (EAFRD, National)","Kim moved to National from V/B.3.4. Frida: Description kind of fits. The ""GazdaNet Program"" (literally translated: ""FarmerNet Program"") is a subsidy program, which aims to support the acquisition of IT equipments, computer programs and related network connections for farmers.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EMVA - Falufejlesztés (EMVA, Nemzeti)","EAFRD - Village Development (EAFRD, National)",Kim moved to National from V/B.3.5. Frida: Only one that mentions village development ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EMVA - Natura 2000 területek - fenntartási terv (EMVA, Nemzeti)","EAFRD - Natura 2000 sites - maintenance plan (EAFRD, National)                                                                                                                                                                                                  ",Kim moved to National from V/B.3.6. Frida: Only one that mentions Natura 2000 + maintenence plan. Second 2: only one that mentions rural heritage. Last 2: only one that mentions specific area + management plan ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EMVA - Vidéki örökség (EMVA, Nemzeti)","EAFRD - Rural Heritage (EAFRD, National)                                                                                                                                                                                                                                             ",Kim moved to National from V/B.3.6. Frida: only one that mentions rural heritage.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"HOP Halastavi Környezetgazdálkodási Program (EHA, Nemzeti)","HOP Environmental Management Program of Fishponds (EMFF, National)",Kim moved to National from V/B.3.6. Frida: UNSURE only one that mentions specific area + management plan ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EMVA - Helyi fejlesztési stratégiák végrehajtása. Versenyképesség (EMVA, Nemzeti)","EAFRD - Implementation of local development strategies. Competitiveness (EAFRD, National)","Kim moved to National from V/B.4.1. Frida: Same formulation, only one that mentions local dev + comp.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EMVA - Helyi fejlesztési stratégiák végrehajtása. Környezet/földgazdálkodás (EMVA, Nemzeti)","EAFRD - Implementation of local development strategies. Environment / Land Management (EAFRD, National)","Kim moved to National from V/B.4.2. Frida: Same formulation, only one that mentions local dev. + env/land ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EMVA - Helyi fejlesztési stratégiák végrehajtása. Életminõség/diverzifikáció (EMVA, Nemzeti)","EAFRD - Implementation of local development strategies. Quality of life / diversification (EAFRD, National)","Kim moved to National from V/B.4.3. Frida: Most likely this one, only one that mentions quality of life + diversification + same formulation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EMVA - Együttmûködési projektek végrehajtása (EMVA, Nemzeti)","EAFRD - Implementation of cooperation projects (EAFRD, National)                                                                                                                                                                                                                ","Kim moved to National from V/B.4.4. Frida: Unsure of this, could also be any measure on row 93-98 i.e measure V/B.4.1-V/B.4.6. Placed here because the description mentions cooperation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EMVA - LEADER - Térségek közötti együttmûködés (EMVA, Nemzeti)","EAFRD - LEADER - Interregional Cooperation (EAFRD, National)                                                                                                                                                                                                           ",Kim moved to National from V/B.4.4. Frida:   Only one that mentions leader + interregional/international cop. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EMVA - LEADER Nemzetközi együttmûködés 2012 (EMVA, Nemzeti)","EAFRD - LEADER International Cooperation 2012 (EAFRD, National)",Kim moved to National from V/B.4.4. Frida:   Only one that mentions leader + interregional/international cop. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EMVA - Helyi Vidékfejlesztési Közösségek és a LEADER helyi akciócsoportok részére nyújtandó támogatás (EMVA, Nemzeti)","EAFRD - Support for Local Rural Development Communities and LEADER Local Action Groups (EAFRD, National)",Kim moved to National from V/B.4.5. Frida: Only one that mentions leader + local action group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cukorrépa termelõk nemzeti támogatása (Nemzeti, Nemzeti)","National aid for sugar beet farmers (National, National)", Kim: moved I.3 to National. Frida: from Only one that mentions sugar beet growers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Anyakecske tartás támogatása (Nemzeti, Nemzeti)","Aid for maintaining she-goats (National, National)",Kim: Moved from I.5 to National. Frida: Only one that mentions she-goats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nemzeti tejtámogatás (Nemzeti, Nemzeti)","National Milk Support (National, National)                                ",Kim moved from I.7 to National. Frida: only one that mentions dairy support.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Zöldség-gyümölcs termelõi csoportok mûködési támogatása (Nemzeti, Nemzeti)","Operational support for Fruit and Vegetable Producer Groups (National, National)",Kim moved from III.4 to National. Frida: Only one that mentions PO's and fruit/vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4/2014. (I.27.) VM rendelet - Méhészeti jármûvek üzemeltetési de minimis támogatás (Nemzeti, Nemzeti)","4/2014. (I.27.) VM Decree - De minimis aid for operation of beekeeping vehicles (National, National)                                                                                                                         ",Kim: moved from III.7 to National. Frida: Could be this as only one that mentions beekeeping. Number not corresponding. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ASzK Folyószámlahitel (Nemzeti, Nemzeti)","ÁSZK Overdraft (National, National)","Kim: Moved from IV/A.4 to National. Kata: ÁSZK = ""Agrár Széchenyi Kártya"" (Agrarian Szechenyi Card - this is a national support program). (The subsidy is availabe for SMEs not only from the agricultural/forestry/fisheries sector. It can be assumed that the aim of the subsidy aligns well with this section, which in general aims to improve the overall performace, sustainability, and development of regions.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fagykárhitel 2011. (Nemzeti, Nemzeti)","Frost damage loan 2011 (National, National)",Kim: Moved from IV/A.5 to National. Frida: Could be this one but unsure - could also be measure V/B.1.11 or V/B.2.12 or IV/A.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NT erdõk felújítása de minimis (Nemzeti, Nemzeti)",NT De minimis (aid) for the restoration of forests,Kim: moved from IV/A.11 to National. Frida: Only one that mentions restoration of forests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EMVA - Erdészeti gépbeszerzés (EMVA, Nemzeti)","EAFRD - Forestry machinery aquisition (EAFRD, National)",Kim: Moved from IV/A.13 to National. Frida: Only one that mentions forest machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Állatjóléti támogatás - Tenyészkoca (Nemzeti, Nemzeti)","Animal Welfare Aid - Breeding Sow (National, National)",Kim: moved from IV/A.19 to National. Frida: Could also be measure V/B.2.5 on row 76 or measure I.7 on row 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EMVA - Erdõápolás (EMVA, Nemzeti)","EAFRD - Forest Care (EAFRD, National)", Kim: moved from IV/A.20 to National. Frida: Could also be IV/A.8 on row 36 or IV/A.12 on row 38 but this fits the best. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tejkvóta nyilvántartás - 2007-tõl Tejtermelés elválasztott (Nemzeti, Nemzeti)","Milk quota registry - from 2007 aid decoupled from milk production (National, National)","Kim moved from I.7 to National. Frida: Mentions decoupled production, kind of fits (Kata placed)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Európai Mezõgazdasági Vidékfejlesztési Alapból finanszírozott erdõszerkezet-átalakítása (EMVA, Nemzeti)","Development of forest structure financed by the European Agricultural Fund for Rural Development (EAFRD, National)","Kim moved to National. Frida: Kind of fits """"areas subject to restructuring and development"", fits no where else",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EMVA Fiatal mezõgazdasági termelõk számára nyújtandó támogatás (EMVA, Nemzeti)","EAFRD Support for Young Farmers (EAFRD, National)                                                                                                                                                                                                                                               ",Kim moved to National. Frida: Could also be measure V/B.1.2. on row 55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
